Major,Race,Students
Agriculture Specials,White,102
Agriculture Certificate (Non-Degree),White,1
Agricultural and Life Sciences Education,White,172
Agricultural Biochemistry,White,24
Agricultural Business,White,492
Agricultural Studies,White,393
Agricultural Systems Technology,White,210
Agriculture and Life Sciences Exploration,White,53
Agriculture and Society,White,21
Agronomy,White,311
Animal Ecology,White,333
Animal Science,White,873
Biology (AGLS),White,252
Culinary Science - Agriculture,White,16
Dairy Science,White,43
Dietetics (AGLS),White,9
Environmental Science (AGLS),White,82
Food Science (AGLS),White,70
Forestry,White,80
General Preveterinary Medicine,White,73
Genetics (AGLS),White,66
Global Resource Systems,White,67
Horticulture,White,114
Industrial Technology,White,220
Insect Science,White,0
Microbiology,White,103
Nutritional Science (AGLS),White,13
Pre-Diet and Exercise (AGLS),White,2
Pre-Dietetics (AGLS),White,18
Public Service and Administration in Agriculture,White,12
Agriculture Specials,American Indian or Alaskan Native,1
Agriculture Certificate (Non-Degree),American Indian or Alaskan Native,0
Agricultural and Life Sciences Education,American Indian or Alaskan Native,0
Agricultural Biochemistry,American Indian or Alaskan Native,0
Agricultural Business,American Indian or Alaskan Native,2
Agricultural Studies,American Indian or Alaskan Native,1
Agricultural Systems Technology,American Indian or Alaskan Native,0
Agriculture and Life Sciences Exploration,American Indian or Alaskan Native,0
Agriculture and Society,American Indian or Alaskan Native,0
Agronomy,American Indian or Alaskan Native,0
Animal Ecology,American Indian or Alaskan Native,1
Animal Science,American Indian or Alaskan Native,1
Biology (AGLS),American Indian or Alaskan Native,0
Culinary Science - Agriculture,American Indian or Alaskan Native,0
Dairy Science,American Indian or Alaskan Native,0
Dietetics (AGLS),American Indian or Alaskan Native,0
Environmental Science (AGLS),American Indian or Alaskan Native,1
Food Science (AGLS),American Indian or Alaskan Native,2
Forestry,American Indian or Alaskan Native,1
General Preveterinary Medicine,American Indian or Alaskan Native,0
Genetics (AGLS),American Indian or Alaskan Native,0
Global Resource Systems,American Indian or Alaskan Native,0
Horticulture,American Indian or Alaskan Native,0
Industrial Technology,American Indian or Alaskan Native,1
Insect Science,American Indian or Alaskan Native,0
Microbiology,American Indian or Alaskan Native,0
Nutritional Science (AGLS),American Indian or Alaskan Native,0
Pre-Diet and Exercise (AGLS),American Indian or Alaskan Native,0
Pre-Dietetics (AGLS),American Indian or Alaskan Native,0
Public Service and Administration in Agriculture,American Indian or Alaskan Native,0
Agriculture Specials,Black,2
Agriculture Certificate (Non-Degree),Black,0
Agricultural and Life Sciences Education,Black,0
Agricultural Biochemistry,Black,1
Agricultural Business,Black,7
Agricultural Studies,Black,0
Agricultural Systems Technology,Black,1
Agriculture and Life Sciences Exploration,Black,1
Agriculture and Society,Black,0
Agronomy,Black,4
Animal Ecology,Black,5
Animal Science,Black,18
Biology (AGLS),Black,3
Culinary Science - Agriculture,Black,0
Dairy Science,Black,0
Dietetics (AGLS),Black,0
Environmental Science (AGLS),Black,1
Food Science (AGLS),Black,4
Forestry,Black,0
General Preveterinary Medicine,Black,5
Genetics (AGLS),Black,1
Global Resource Systems,Black,2
Horticulture,Black,2
Industrial Technology,Black,12
Insect Science,Black,1
Microbiology,Black,5
Nutritional Science (AGLS),Black,2
Pre-Diet and Exercise (AGLS),Black,0
Pre-Dietetics (AGLS),Black,0
Public Service and Administration in Agriculture,Black,0
Agriculture Specials,Asian,2
Agriculture Certificate (Non-Degree),Asian,0
Agricultural and Life Sciences Education,Asian,0
Agricultural Biochemistry,Asian,1
Agricultural Business,Asian,1
Agricultural Studies,Asian,0
Agricultural Systems Technology,Asian,0
Agriculture and Life Sciences Exploration,Asian,1
