Major,Race,Students
Business Specials (Non-Degree),White,14
Accounting,White,365
Business Economics,White,15
Business Undeclared,White,24
Finance,White,407
Management,White,189
Management Information Systems,White,206
Marketing,White,399
Pre-Business,White,1758
Supply Chain Management,White,277
Business Specials (Non-Degree),American Indian or Alaskan Native,0
Accounting,American Indian or Alaskan Native,1
Business Economics,American Indian or Alaskan Native,0
Business Undeclared,American Indian or Alaskan Native,0
Finance,American Indian or Alaskan Native,1
Management,American Indian or Alaskan Native,0
Management Information Systems,American Indian or Alaskan Native,2
Marketing,American Indian or Alaskan Native,4
Pre-Business,American Indian or Alaskan Native,2
Supply Chain Management,American Indian or Alaskan Native,0
Business Specials (Non-Degree),Black,0
Accounting,Black,11
Business Economics,Black,0
Business Undeclared,Black,0
Finance,Black,5
Management,Black,1
Management Information Systems,Black,9
Marketing,Black,11
Pre-Business,Black,70
Supply Chain Management,Black,10
Business Specials (Non-Degree),Asian,1
Accounting,Asian,12
Business Economics,Asian,0
Business Undeclared,Asian,1
Finance,Asian,13
Management,Asian,11
Management Information Systems,Asian,26
Marketing,Asian,12
Pre-Business,Asian,67
Supply Chain Management,Asian,7
Business Specials (Non-Degree),Native Hawaiian or Pacific Islander,0
Accounting,Native Hawaiian or Pacific Islander,0
Business Economics,Native Hawaiian or Pacific Islander,0
Business Undeclared,Native Hawaiian or Pacific Islander,0
Finance,Native Hawaiian or Pacific Islander,0
Management,Native Hawaiian or Pacific Islander,0
Management Information Systems,Native Hawaiian or Pacific Islander,0
Marketing,Native Hawaiian or Pacific Islander,0
Pre-Business,Native Hawaiian or Pacific Islander,1
Supply Chain Management,Native Hawaiian or Pacific Islander,1
Business Specials (Non-Degree),Hispanic or Latino,1
Accounting,Hispanic or Latino,10
Business Economics,Hispanic or Latino,2
Business Undeclared,Hispanic or Latino,1
Finance,Hispanic or Latino,14
Management,Hispanic or Latino,8
Management Information Systems,Hispanic or Latino,7
Marketing,Hispanic or Latino,13
Pre-Business,Hispanic or Latino,88
Supply Chain Management,Hispanic or Latino,8
Business Specials (Non-Degree),Two or More,0
Accounting,Two or More,6
Business Economics,Two or More,1
Business Undeclared,Two or More,1
Finance,Two or More,8
Management,Two or More,1
Management Information Systems,Two or More,6
Marketing,Two or More,6
Pre-Business,Two or More,42
Supply Chain Management,Two or More,5
