Major,Gender,Students,Link
Accounting,Male,214,../general/general.html
Business Economics,Male,13,../general/general.html
Business Undeclared,Male,17,../general/general.html
Finance,Male,319,../general/general.html
Management,Male,123,../general/general.html
Management Information Systems,Male,215,../general/general.html
Marketing,Male,211,../general/general.html
Pre-Business,Male,1387,../general/general.html
Supply Chain Management,Male,222,../general/general.html
Accounting,Female,191,../general/general.html
Business Economics,Female,5,../general/general.html
Business Undeclared,Female,10,../general/general.html
Finance,Female,129,../general/general.html
Management,Female,87,../general/general.html
Management Information Systems,Female,41,../general/general.html
Marketing,Female,234,../general/general.html
Pre-Business,Female,641,../general/general.html
Supply Chain Management,Female,86,../general/general.html
