Major,Gender,Students,Link
Architecture-Professional Degree,Male,174,../general/general.html
Art and Design (Bachelor of Arts),Male,6,../general/general.html
Community and Regional Planning,Male,46,../general/general.html
Design,Male,44,../general/general.html
Design Undeclared,Male,20,../general/general.html
Graphic Design,Male,59,../general/general.html
Industrial Design,Male,121,../general/general.html
Integrated Studio Arts,Male,26,../general/general.html
Interior Design,Male,26,../general/general.html
Landscape Architecture,Male,65,../general/general.html
Pre-Architecture,Male,118,../general/general.html
Pre-Community and Regional Planning,Male,3,../general/general.html
Pre-Graphic Design,Male,27,../general/general.html
Pre-Industrial Design,Male,47,../general/general.html
Pre-Integrated Studio Arts,Male,1,../general/general.html
Pre-Interior Design,Male,7,../general/general.html
Pre-Landscape Architecture,Male,9,../general/general.html
Architecture-Professional Degree,Female,134,../general/general.html
Art and Design (Bachelor of Arts),Female,10,../general/general.html
Community and Regional Planning,Female,21,../general/general.html
Design,Female,42,../general/general.html
Design Undeclared,Female,53,../general/general.html
Graphic Design,Female,164,../general/general.html
Industrial Design,Female,44,../general/general.html
Integrated Studio Arts,Female,63,../general/general.html
Interior Design,Female,150,../general/general.html
Landscape Architecture,Female,64,../general/general.html
Pre-Architecture,Female,79,../general/general.html
Pre-Community and Regional Planning,Female,7,../general/general.html
Pre-Graphic Design,Female,74,../general/general.html
Pre-Industrial Design,Female,9,../general/general.html
Pre-Integrated Studio Arts,Female,8,../general/general.html
Pre-Interior Design,Female,35,../general/general.html
Pre-Landscape Architecture,Female,8,../general/general.html
