state,electorate
Alabama,5
Alaska,2
Arizona,22
Arkansas,8
California,178
Colorado,98
Connecticut,31
Delaware,3
District of Columbia,1
Florida,46
Georgia,14
Hawaii,10
Idaho,8
Illinois,3307
Indiana,43
Iowa,19285
Kansas,112
Kentucky,3
Louisiana,4
Maine,7
Maryland,19
Massachusetts,21
Michigan,55
Minnesota,2836
Mississippi,4
Missouri,188
Montana,5
Nebraska,308
Nevada,9
New Hampshire,7
New Jersey,29
New Mexico,4
New York,40
North Carolina,15
North Dakota,11
Ohio,44
Oklahoma,13
Oregon,3
Pennsylvania,34
Rhode Island,2
South Carolina,1
South Dakota,82
Tennessee,9
Texas,236
Utah,1
Vermont,2
Virginia,29
Washington,20
West Virginia,1
Wisconsin,506
Wyoming,6
