College,Race,Students
Agriculture & Life Sciences,White,4219
Agriculture & Life Sciences,American Indian or Alaskan Native,11
Agriculture & Life Sciences,Black,77
Agriculture & Life Sciences,Asian,40
Agriculture & Life Sciences,Native Hawaiian or Pacific Islander,4
Agriculture & Life Sciences,Hispanic or Latino ,189
Agriculture & Life Sciences,Two or More,72
Business,White,3654
Business,American Indian or Alaskan Native,10
Business,Black,117
Business,Asian,150
Business,Native Hawaiian or Pacific Islander,2
Business,Hispanic or Latino ,152
Business,Two or More,76
Design,White,1514
Design,American Indian or Alaskan Native,1
Design,Black,44
Design,Asian,64
Design,Native Hawaiian or Pacific Islander,1
Design,Hispanic or Latino ,96
Design,Two or More,51
Engineering,White,6958
Engineering,American Indian or Alaskan Native,17
Engineering,Black,160
Engineering,Asian,265
Engineering,Native Hawaiian or Pacific Islander,15
Engineering,Hispanic or Latino ,364
Engineering,Two or More,170
Human Sciences,White,3782
Human Sciences,American Indian or Alaskan Native,8
Human Sciences,Black,119
Human Sciences,Asian,93
Human Sciences,Native Hawaiian or Pacific Islander,0
Human Sciences,Hispanic or Latino ,200
Human Sciences,Two or More,88
Liberal Arts & Sciences,White,6075
Liberal Arts & Sciences,American Indian or Alaskan Native,26
Liberal Arts & Sciences,Black,285
Liberal Arts & Sciences,Asian,263
Liberal Arts & Sciences,Native Hawaiian or Pacific Islander,6
Liberal Arts & Sciences,Hispanic or Latino ,398
Liberal Arts & Sciences,Two or More,198
