Major,Students
"Apparel, Merchandising, and Design",484
Athletic Training,67
Child & Family Services,382
Culinary Science - Human Sciences,38
Dietetics (H SCI),137
Early Childhood Education,139
Elementary Education,769
Event Management,361
Family and Consumer Science Education and Studies,99
Financial Counseling and Planning,30
Food Science (H SCI),51
Hospitality Management,150
Human Sciences,41
Kinesiology and Health,1208
Nutritional Science (H SCI),86
Pre-Athletic Training,74
Pre-Diet and Exercise (H SCI),32
Pre-Dietetics (H SCI),101
Pre-Early Childcare Education and Programming,11
